Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Datadriven,Chrome 120.0.0.0,,,25-12-2023 13:13:11,25-12-2023 13:13:21,10.599s,FAILED
,,,,,,,
Test Cases/Test/DatadrivenTesting,Chrome 120.0.0.0,,,25-12-2023 13:13:11,25-12-2023 13:13:17,5.999s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:11,25-12-2023 13:13:11,0.070s,ERROR
Start listener action : beforeTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:11,25-12-2023 13:13:11,0.015s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-12-2023 13:13:11,25-12-2023 13:13:13,1.975s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,25-12-2023 13:13:13,25-12-2023 13:13:17,3.418s,PASSED
acceptAlert(),Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:17,0.294s,FAILED
Start listener action : afterTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:17,0.006s,PASSED
,,,,,,,
Test Cases/Test/DatadrivenTesting,Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:21,4.147s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:17,0.040s,ERROR
Start listener action : beforeTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:17,0.002s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,25-12-2023 13:13:17,25-12-2023 13:13:18,1.264s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 120.0.0.0,,,25-12-2023 13:13:18,25-12-2023 13:13:21,2.444s,PASSED
acceptAlert(),Chrome 120.0.0.0,,,25-12-2023 13:13:21,25-12-2023 13:13:21,0.212s,FAILED
Start listener action : afterTestCase,Chrome 120.0.0.0,,,25-12-2023 13:13:21,25-12-2023 13:13:21,0.001s,PASSED
